Country,Alcohol Both Sexes 2008-2010,Alcohol Both Sexes 2003-2005,Alcohol Male 2008-2010,Alcohol Male 2003-2005,Alcohol Female 2008-2010,Alcohol Female 2003-2005,Drug Male 2004,Drug Female 2004,Homicides # 2012,Homicide Rate 2015,Mental Beds Rate GH 2014,Mental Beds Rate GH 2011,Mental Beds Rate CRF 2014,Mental Beds Rate CRF 2011,Mental Beds Rate MH 2014,Mental Beds Rate MH 2011,Mental Hospitals Rate 2011,Mental Hospitals Units In GH Rate 2010,Mental Hospitals Units In GH Rate 2009,Mental Hospitals Units In GH Rate 2008,Mental Hospitals Units In GH Rate 2007,Mental Hospitals Units In GH Rate 2006,Mental Hospitals Units In GH Rate 2005,Mental Hospitals Units In GH Rate 2004,Mental Health Outpatient Facilities Rate,Mental Health Day Treatment Facilities Rate,Mental Health Community Residential Facilities Rate
Afghanistan,18.87,,25.26,,5.97,,0.92,0.1,2180 [516 - 9030],7,0.32,0.84,0,0,0.32,0.34,0,,,,,,2,,0.07,0,0
Albania,12.98,,17.36,,7.25,,0.56,0.2,159 [130 - 188],4.1,3.92,4.1,3.2,3.12,15.38,16.41,0.06,,,,58,,,,0.63,0.09,0.28
Algeria,10.88,22.62,11.75,26.53,8.49,15.63,0.41,0.14,1701 [390-6998],4.2,1.65,2.33,,,9.06,11.36,0.04,,549,,,,,,1.21,0.05,
Andorra,20.15,24.99,26.56,27.71,13.01,20.4,0.65,0.21,1,,,13.84,,6.92,No data,0,0,6,,,,,,,2.31,3.46,2.31
Angola,20.94,,25.07,,12.89,,0.42,0.14,2232 [526 - 9140],9.6,,,,,0.05,0.03,0.01,4,,,,,,,0.01,,
Antigua and Barbuda,8.03,,10.56,,5.08,,0.68,0.23,4,,,0,,0,No data,124.22,1.13,1,,,,,,,10.16,1.13,0
Argentina,15.82,12.12,19.48,15.56,10.87,7.6,1.74,0.56,2445,4.7,,2.08,,,No data,26.29,0.13,,,,,,,,,,
Armenia,8.28,18.34,9.57,24.42,5.83,12.05,0.15,0.05,62,1.7,2.51,1.46,,0,47.52,46.37,0.32,,125,,,,,,0.87,0.13,0
Australia,14.55,11.89,19.71,16.26,9.01,7.23,0.6,0.28,254,0.9,325.47,28.91,9.95,10.15,7.93,10.02,0.07,,,2745,,,,,4.65,,0.66
Austria,13.84,15.71,19.02,21.92,8.55,9.52,0.71,0.22,77,1,19.53,14.39,54.92,29.95,26.8,21.31,0.08,,1653,,,,,,,0.29,3.05
Azerbaijan,5.22,,6.09,,3.62,,0.17,0.06,225,2.2,0.42,0.78,10.11,11.33,32.58,34.43,0.12,,454,,,,,,0.08,0.06,0.08
Bahamas,12.5,,14.94,,8.95,,0.67,0.22,120,23.7,,,,,No data,,,,,,,,,,,,
Bahrain,21.17,,23.6,,13.93,,0.44,0.07,10 [7 - 15],0.7,,0,,,16.81,28,0.12,,66,,,,,,0.62,0.25,0
Bangladesh,8.99,4.47,9.18,4.59,5.44,2.98,0.32,0.03,4794,2.9,0.24,0.55,2.9,0.78,0.32,0.3,0,,120,,,,,,0.04,0,0.01
Barbados,9.97,16.89,13.07,19.09,6.34,13.72,0.64,0.2,28,10.1,4.2,3.12,5.59,7.02,192.27,209.31,0.39,,,,11,,,,5.46,0,0.39
Belarus,22.09,19.15,30.92,27.95,12.79,11.3,0.06,0.02,581,6.2,3.28,4.69,,,67.69,58.51,0.15,,841,,,,,,0.15,0.26,
Belgium,12.78,12.79,17.81,17.54,7.78,7.83,0.61,0.19,117,1.1,30.44,25.59,,,137.89,134.47,0.64,,,,,,,,0.83,1.27,
Belize,29.75,17.15,32.05,20.37,21.15,9.57,1.05,0.36,145,37.2,4.71,1.28,11.77,11.5,0,0,0,,3,,,,,,2.88,0,0.32
Benin,5.44,3.67,7.02,4.18,2.93,2.7,0.42,0.14,633 [156 - 2521],6,0.43,0.22,2.83,5.43,0.94,2.17,0.02,,,,13,,,,0.16,0,0.04
Bhutan,6.92,1.56,7.99,2.49,2.18,0.21,0.24,0.03,14,1.5,20.9,,,0,21.83,0,0,,2,,,,,,4.38,0,0
Bolivia (Plurinational State of),11.31,8.55,14.54,12.61,6.57,4.41,2.15,0.71,1461,13.6,,,,0.26,9.37,9.53,0.09,,104,,,,,,0.39,0.12,0.01
Bosnia and Herzegovina,12.34,55.99,19.07,60.25,2.95,32.98,0.45,0.15,132 [32 - 566],3.1,,11.09,,0.43,No data,12.42,0.16,,,186,,,,,1.36,0.13,0.05
Botswana,20.24,26.47,25.32,29.07,9.47,15.02,0.48,0.15,249,10.8,4.91,5.01,0,0,7.11,16.79,0.1,5,,,,,,,0.86,0,0
Brazil,15.14,18.51,19.57,24.38,8.94,10.62,1.26,0.42,64357,30.5,0.4,1.31,0.95,2.31,11.64,18.13,0.11,,6003,,,,,,0.44,0.79,0.29
Brunei Darussalam,4.26,,6.98,,0.73,,0.02,0,9 [2 - 35],1.3,9.45,9.83,2.36,0,0,0,0,,2,,,,,,1.47,0.74,0
Bulgaria,16.94,16.99,24.33,22.87,8.68,9.25,1.22,0.4,141,1.5,13.64,32.61,0,,34.01,36.08,0.16,,506,,,,,,5.04,,3.43
Burkina Faso,18.01,29.24,22.68,39.7,10.11,18.81,0.43,0.14,1613 [404 - 6274],9.8,1.02,,0,,0,,,,,7,,,,,0,0,
Burundi,22.01,,26.46,,14.99,,0.48,0.15,657 [138 - 2844],6.2,,,,,1.24,0.76,0.01,1,,,,,,,0.04,0.04,0.01
Côte d'Ivoire,25.61,27.29,27.59,31,18.21,16.49,0.51,0.17,2412 [535 - 9912],11.8,0.05,,0,,1.2,,0.01,35,,,,,,,0.04,0.02,0.01
Cabo Verde,17.86 17.86,10.30 10.30,23.01 23.01,11.63 11.63,9.41 9.41,7.62 7.62,0.42,0.13,43 [10 - 195],5.9,,9.36,,,No data,0,0,,7,,,,,,4.68,,
Cambodia,14.23 14.23,,19.85 19.85,,5.74 5.74,,2.66,0.54,356,2.2,0.07,0.1,0,0,0,0,0,,,35,,,,,0.42,0.01,0
Cameroon,19.35 19.35,13.74 13.74,24.98 24.98,17.20 17.20,10.43 10.43,9.34 9.34,0.4,0.13,2544 [606 - 11129],11.5,,0.05,,0.8,No data,0.58,0.01,5,,,,,,,0.05,,0.03
Canada,13.24 13.24,12.59 12.59,18.78 18.78,18.20 18.20,7.40 7.40,7.04 7.04,1.14,0.37,614,1.8,,,,,No data,31.38,,,,4272,,,,,,,
Central African Republic,17.5,,18.29,,15.64,,0.45,0.14,610 [140 - 2646],13.1,0.68,0.53,,0,0.71,0,0,,1,,,,,,0.02,0,0
Chad,33.85,20.68,37.49,26.16,24.74,14.23,0.5,0.16,1168 [257 - 4734],9,,0.02,,0,No data,0,0,1,,,,,,,0.01,0,0
Chile,14.63,12.65,19.15,16.68,9.3,8.16,1.92,0.63,811,4.6,5.82,2.57,9.13,8.33,6.55,2.16,0.02,,1000,,,,,,0.79,0.26,1
China,15.14,10.61,18.68,13.68,7.61,5.19,0.15,0.04,15480,0.9,,1,,,16.77,13.72,0.06,,17204,,,,,,,,
Colombia,12.9,7.66,15.19,10.63,9.44,4.7,3.14,1.04,20923,48.8,,,0,,8.72,,,,,,,,,,,,
Comoros,1.93,37.02,2.11,45.72,1.45,24.25,0.43,0.14,57 [13 - 220],7.6,,0.43,,0,No data,0,0,,1,,,,,,0,0.43,0
Congo,13.58,11.25,14.74,14.32,10.48,7.05,0.5,0.16,450 [110 - 2113],10.1,0.92,0.93,,,1.05,,0,,1,,,,,,0,,
Cook Islands,14.11,6.27,18.89,7.56,6.08,2.33,0.22,0.05,1,,,0,,0,0,0,0,,,,,,,,10.03,5.02,0
Costa Rica,10.45,9.96,12.11,11.4,7.84,7.76,0.18,0.06,407,9.2,0.77,1.88,,3.79,6.08,20.99,0.04,,108,,,,,,0.82,0.04,0.75
Croatia,15.12,26.32,19.33,31.98,10.12,18.77,0.98,0.3,54,1,19.71,19.48,,,78.98,76.04,0.16,,,452,,,,,3.38,0.41,
Cuba,8.32,11.78,12.27,13.93,2.95,6.61,0.01,0,561,4.9,10.22,10.27,0,,56.59,58.06,0.21,,1216,,,,,,3.59,0.42,
Cyprus,10.79,,13.54,,7.39,,0.44,0.07,23,2.2,4.51,5.23,,0.34,10.49,16.26,0.11,,60,,,,,,4.09,0.57,0.11
Czechia,14.63,19.54,20.24,26.59,8.97,12.36,0.12,0.04,99,0.9,11.73,13.41,,,82.37,91.64,0.18,,,1234,,,,,7.92,0.74,
Democratic People's Republic of Korea,17.94,,24.06,,3.47,,0.44,0.1,1169 [271 - 5015],4.4,,,,,No data,,,,,,,,,,,,
Democratic Republic of the Congo,12.94,7.55,14,9,10.11,5.19,0.48,0.16,8755 [1954 - 37066],13.4,,,0,0,0.43,0.74,0.01,,45,,,,,,0,0,0
Denmark,12.9,14.38,17.5,19.47,8.1,8.42,0.46,0.15,50,1.1,52.43,53.91,,,52.28,,,,774,,,,,,,,
